"age","sex","mx","location","sex_age_cat"
19,"male",0.000604960677555959,"Australian Capital Territory","male_19"
19,"female",0.000106871860639094,"Australian Capital Territory","female_19"
2,"male",0,"Australian Capital Territory","male_2"
2,"female",0.000853762653982193,"Australian Capital Territory","female_2"
20,"male",0.000745712155108128,"Australian Capital Territory","male_20"
20,"female",0.000992950054612253,"Australian Capital Territory","female_20"
21,"male",0.00101795298908014,"Australian Capital Territory","male_21"
21,"female",0,"Australian Capital Territory","female_21"
22,"male",0,"Australian Capital Territory","male_22"
22,"female",0.000359971202303816,"Australian Capital Territory","female_22"
23,"male",0.000764525993883792,"Australian Capital Territory","male_23"
23,"female",0.000697167755991285,"Australian Capital Territory","female_23"
24,"male",0.000641642605068977,"Australian Capital Territory","male_24"
24,"female",0.000330114714863415,"Australian Capital Territory","female_24"
25,"male",0.000578560211587735,"Australian Capital Territory","male_25"
25,"female",0.000571895424836601,"Australian Capital Territory","female_25"
26,"male",0.000501630298470028,"Australian Capital Territory","male_26"
26,"female",0,"Australian Capital Territory","female_26"
27,"male",0.000776196636481242,"Australian Capital Territory","male_27"
27,"female",0.00076530612244898,"Australian Capital Territory","female_27"
28,"male",0.000508776392775375,"Australian Capital Territory","male_28"
28,"female",0.000168180289270098,"Australian Capital Territory","female_28"
29,"male",0.000517063081695967,"Australian Capital Territory","male_29"
29,"female",0.000689417442261289,"Australian Capital Territory","female_29"
3,"male",0.000443852640923213,"Australian Capital Territory","male_3"
3,"female",0,"Australian Capital Territory","female_3"
30,"male",0.000267236771779797,"Australian Capital Territory","male_30"
30,"female",0.000261301280376274,"Australian Capital Territory","female_30"
31,"male",0.000918779860345461,"Australian Capital Territory","male_31"
31,"female",0.000445156695156695,"Australian Capital Territory","female_31"
32,"male",0.000910995718320124,"Australian Capital Territory","male_32"
32,"female",0.000621724842348344,"Australian Capital Territory","female_32"
33,"male",0.000451182097094387,"Australian Capital Territory","male_33"
33,"female",0.000177872643187478,"Australian Capital Territory","female_33"
34,"male",0.000558191459670667,"Australian Capital Territory","male_34"
34,"female",0.000443734469293575,"Australian Capital Territory","female_34"
35,"male",0.000541565123206066,"Australian Capital Territory","male_35"
35,"female",0.000178396218000178,"Australian Capital Territory","female_35"
36,"male",0.00100072780203785,"Australian Capital Territory","male_36"
36,"female",0.000745920745920746,"Australian Capital Territory","female_36"
37,"male",0.000847697089573326,"Australian Capital Territory","male_37"
37,"female",0.000464640832636372,"Australian Capital Territory","female_37"
38,"male",0.000872093023255814,"Australian Capital Territory","male_38"
38,"female",0.000769378726678207,"Australian Capital Territory","female_38"
39,"male",0.00148430873621713,"Australian Capital Territory","male_39"
39,"female",0.000499001996007984,"Australian Capital Territory","female_39"
4,"male",0.000437732545414752,"Australian Capital Territory","male_4"
4,"female",0,"Australian Capital Territory","female_4"
40,"male",0.00115997047347886,"Australian Capital Territory","male_40"
40,"female",0.00107146683810136,"Australian Capital Territory","female_40"
41,"male",0.00101112234580384,"Australian Capital Territory","male_41"
41,"female",0.00114705207616426,"Australian Capital Territory","female_41"
42,"male",0.00137931034482759,"Australian Capital Territory","male_42"
42,"female",0.00079853981291353,"Australian Capital Territory","female_42"
43,"male",0.0022191076851203,"Australian Capital Territory","male_43"
43,"female",0.00107219442458899,"Australian Capital Territory","female_43"
44,"male",0.000798813191829282,"Australian Capital Territory","male_44"
44,"female",0.00114586914174401,"Australian Capital Territory","female_44"
45,"male",0.00175254118471784,"Australian Capital Territory","male_45"
45,"female",0.000918273645546373,"Australian Capital Territory","female_45"
46,"male",0.00189730819399976,"Australian Capital Territory","male_46"
46,"female",0.000666888962987663,"Australian Capital Territory","female_46"
47,"male",0.00206469373709566,"Australian Capital Territory","male_47"
47,"female",0.00122549019607843,"Australian Capital Territory","female_47"
48,"male",0.00179030994740965,"Australian Capital Territory","male_48"
48,"female",0.000675447483958122,"Australian Capital Territory","female_48"
49,"male",0.00218261185885777,"Australian Capital Territory","male_49"
49,"female",0.00119731800766284,"Australian Capital Territory","female_49"
5,"male",0.000222222222222222,"Australian Capital Territory","male_5"
5,"female",0.000713775874375446,"Australian Capital Territory","female_5"
50,"male",0.00116324156649864,"Australian Capital Territory","male_50"
50,"female",0.00122010736944851,"Australian Capital Territory","female_50"
51,"male",0.00237060450414856,"Australian Capital Territory","male_51"
51,"female",0.00186965811965812,"Australian Capital Territory","female_51"
52,"male",0.00111436133166179,"Australian Capital Territory","male_52"
52,"female",0.0011001100110011,"Australian Capital Territory","female_52"
53,"male",0.0028022978842651,"Australian Capital Territory","male_53"
53,"female",0.002356637863315,"Australian Capital Territory","female_53"
54,"male",0.00438969130557916,"Australian Capital Territory","male_54"
54,"female",0.00135007425408397,"Australian Capital Territory","female_54"
55,"male",0.00300171526586621,"Australian Capital Territory","male_55"
55,"female",0.00241837968561064,"Australian Capital Territory","female_55"
56,"male",0.00311526479750779,"Australian Capital Territory","male_56"
56,"female",0.00153288740245262,"Australian Capital Territory","female_56"
57,"male",0.00395145357042055,"Australian Capital Territory","male_57"
57,"female",0.00238379022646007,"Australian Capital Territory","female_57"
58,"male",0.00486510393631137,"Australian Capital Territory","male_58"
58,"female",0.00220294644086466,"Australian Capital Territory","female_58"
59,"male",0.00303444090426339,"Australian Capital Territory","male_59"
59,"female",0.00388098318240621,"Australian Capital Territory","female_59"
6,"male",0,"Australian Capital Territory","male_6"
6,"female",0,"Australian Capital Territory","female_6"
60,"male",0.00561890596595604,"Australian Capital Territory","male_60"
60,"female",0.00248756218905473,"Australian Capital Territory","female_60"
61,"male",0.00617902471609887,"Australian Capital Territory","male_61"
61,"female",0.00397007176668194,"Australian Capital Territory","female_61"
62,"male",0.00628601361969618,"Australian Capital Territory","male_62"
62,"female",0.00424728645587541,"Australian Capital Territory","female_62"
63,"male",0.00925925925925926,"Australian Capital Territory","male_63"
63,"female",0.00563334942861742,"Australian Capital Territory","female_63"
64,"male",0.00584795321637427,"Australian Capital Territory","male_64"
64,"female",0.00499827645639435,"Australian Capital Territory","female_64"
65,"male",0.00799543118218161,"Australian Capital Territory","male_65"
65,"female",0.00317124735729387,"Australian Capital Territory","female_65"
66,"male",0.00751010976314269,"Australian Capital Territory","male_66"
66,"female",0.00485352747443231,"Australian Capital Territory","female_66"
67,"male",0.00970673275505989,"Australian Capital Territory","male_67"
67,"female",0.00552963538966649,"Australian Capital Territory","female_67"
68,"male",0.00912106135986733,"Australian Capital Territory","male_68"
68,"female",0.00676999821842152,"Australian Capital Territory","female_68"
69,"male",0.00917992656058752,"Australian Capital Territory","male_69"
69,"female",0.00593251761216166,"Australian Capital Territory","female_69"
7,"male",0,"Australian Capital Territory","male_7"
7,"female",0,"Australian Capital Territory","female_7"
70,"male",0.011844331641286,"Australian Capital Territory","male_70"
70,"female",0.00921128382268279,"Australian Capital Territory","female_70"
71,"male",0.0146750524109015,"Australian Capital Territory","male_71"
71,"female",0.00910125142207053,"Australian Capital Territory","female_71"
72,"male",0.0133000831255195,"Australian Capital Territory","male_72"
72,"female",0.00836586726157278,"Australian Capital Territory","female_72"
73,"male",0.0153541357107479,"Australian Capital Territory","male_73"
73,"female",0.0113425925925926,"Australian Capital Territory","female_73"
74,"male",0.0190883190883191,"Australian Capital Territory","male_74"
74,"female",0.0147695441813089,"Australian Capital Territory","female_74"
75,"male",0.0269423558897243,"Australian Capital Territory","male_75"
75,"female",0.013745704467354,"Australian Capital Territory","female_75"
76,"male",0.0291842475386779,"Australian Capital Territory","male_76"
76,"female",0.0146788990825688,"Australian Capital Territory","female_76"
77,"male",0.0281293952180028,"Australian Capital Territory","male_77"
77,"female",0.0190300798035605,"Australian Capital Territory","female_77"
78,"male",0.0317662007623888,"Australian Capital Territory","male_78"
78,"female",0.0199661590524535,"Australian Capital Territory","female_78"
79,"male",0.0417754569190601,"Australian Capital Territory","male_79"
79,"female",0.0279617365710081,"Australian Capital Territory","female_79"
8,"male",0.000114982177762447,"Australian Capital Territory","male_8"
8,"female",0,"Australian Capital Territory","female_8"
80,"male",0.0426518312471025,"Australian Capital Territory","male_80"
80,"female",0.0284933645589383,"Australian Capital Territory","female_80"
81,"male",0.0423037716615698,"Australian Capital Territory","male_81"
81,"female",0.0293267244940107,"Australian Capital Territory","female_81"
