"year","sex","brsc","utrc","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
17,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
18,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
19,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
20,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
21,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
22,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
23,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
24,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
25,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
26,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
27,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
28,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
29,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
30,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
31,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
32,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
33,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
34,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
35,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
36,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
37,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
38,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
39,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
40,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
41,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
42,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
43,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
44,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
45,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
46,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
47,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
48,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
49,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
50,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
51,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
52,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
53,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
54,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
55,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
56,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
57,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
58,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
59,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
60,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
61,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
62,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
63,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
64,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
