"year","sex","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","prsc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
32,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
33,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
34,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
35,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
36,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
37,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
38,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
39,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
4,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.847529124112194,0.847529124112194,1,1.00193164680358,1.05925969236163,1
40,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
